Food_ID,Name,C_Type,Veg_Non,Describe,Health_Issue,Climate,Restaurant,Rating,Protein,Calories,Carbs
37.0,Avocado Chicken Wrap Variant 5,Healthy Food,non-veg,"A creamy and satisfying wrap with avocado and choice fillings, great for a balanced and refreshing meal.",Hypertension,summer,Ocean Breeze,4.6,6.2,195.0,74.9
38.0,Stir-Fried Tofu Variant 4,Healthy Food,veg,"A savory and protein-rich stir-fried tofu dish, offering a delicious, plant-based alternative.",Hypertension,winter,Ocean Breeze,4.7,9.9,160.0,69.5
39.0,Low-Carb Cauliflower Rice Variant 2,Healthy Food,non-veg,"A delicious and unique preparation of Low-Carb Cauliflower Rice Variant 2, crafted to please the palate and provide nourishment.",Hypertension,rainy,Urban Plates,4.8,8.6,309.0,30.2
40.0,Avocado Chicken Wrap Variant 6,Healthy Food,veg,"A creamy and satisfying wrap with avocado and choice fillings, great for a balanced and refreshing meal.",Hypertension,summer,Healthy Greens,4.5,10.8,111.0,27.1
41.0,Kale and Lentil Soup Variant 3,Healthy Food,non-veg,"A delicious and unique preparation of Kale and Lentil Soup Variant 3, crafted to please the palate and provide nourishment.",Anemia,summer,Green Table,4.7,29.4,418.0,16.2
42.0,Grilled Tuna Variant 2,Healthy Food,veg,"A delicious and unique preparation of Grilled Tuna Variant 2, crafted to please the palate and provide nourishment.",Anemia,winter,Healthy Greens,4.7,24.6,463.0,78.3
43.0,Berry Spinach Smoothie Variant 4,Healthy Food,non-veg,"A delicious and unique preparation of Berry Spinach Smoothie Variant 4, crafted to please the palate and provide nourishment.",Anemia,summer,Fruit Bar,4.0,17.3,151.0,33.8
44.0,Walnut-Crusted Salmon Variant 3,Healthy Food,veg,"A delightful and nutritious dish featuring fresh salmon, perfect for a flavorful and health-conscious meal.",Anemia,rainy,Home Kitchen,3.6,8.1,493.0,77.9
45.0,Roasted Beet Salad Variant 3,Healthy Food,non-veg,"A delicious and unique preparation of Roasted Beet Salad Variant 3, crafted to please the palate and provide nourishment.",Anemia,rainy,Home Kitchen,3.9,15.8,340.0,41.3
46.0,Kale and Lentil Soup Variant 4,Healthy Food,veg,"A delicious and unique preparation of Kale and Lentil Soup Variant 4, crafted to please the palate and provide nourishment.",Anemia,summer,Fresh Greens,4.6,22.4,222.0,66.3
47.0,Berry Spinach Smoothie Variant 5,Healthy Food,non-veg,"A delicious and unique preparation of Berry Spinach Smoothie Variant 5, crafted to please the palate and provide nourishment.",Anemia,winter,Energy Bites,3.7,8.0,146.0,38.5
48.0,Walnut-Crusted Salmon Variant 4,Healthy Food,veg,"A delightful and nutritious dish featuring fresh salmon, perfect for a flavorful and health-conscious meal.",Anemia,winter,Ocean Breeze,4.0,4.0,460.0,53.4
49.0,Roasted Beet Salad Variant 4,Healthy Food,non-veg,"A delicious and unique preparation of Roasted Beet Salad Variant 4, crafted to please the palate and provide nourishment.",Anemia,rainy,Vital Cafe,3.7,8.2,148.0,20.0
50.0,Berry Spinach Smoothie Variant 6,Healthy Food,veg,"A delicious and unique preparation of Berry Spinach Smoothie Variant 6, crafted to please the palate and provide nourishment.",Anemia,rainy,Spice House,4.4,21.5,176.0,57.1
51.0,Sautéed Spinach Variant 6,Healthy Food,non-veg,"A delicious and unique preparation of Sautéed Spinach Variant 6, crafted to please the palate and provide nourishment.",Asthma,rainy,Fresh Greens,3.8,2.6,497.0,65.1
52.0,Mixed Bean Salad Variant 4,Healthy Food,veg,"A delicious and unique preparation of Mixed Bean Salad Variant 4, crafted to please the palate and provide nourishment.",Asthma,rainy,Urban Plates,3.8,8.9,216.0,28.8
53.0,Sautéed Spinach Variant 7,Healthy Food,non-veg,"A delicious and unique preparation of Sautéed Spinach Variant 7, crafted to please the palate and provide nourishment.",Asthma,rainy,Energy Bites,4.6,28.1,444.0,49.0
54.0,Sautéed Spinach Variant 8,Healthy Food,veg,"A delicious and unique preparation of Sautéed Spinach Variant 8, crafted to please the palate and provide nourishment.",Asthma,winter,Healthy Greens,4.3,22.5,104.0,37.0
55.0,Sautéed Spinach Variant 9,Healthy Food,non-veg,"A delicious and unique preparation of Sautéed Spinach Variant 9, crafted to please the palate and provide nourishment.",Asthma,winter,Healthy Greens,4.4,12.6,326.0,54.3
56.0,Greek Yogurt with Berries Variant 3,Healthy Food,veg,"A delicious and unique preparation of Greek Yogurt with Berries Variant 3, crafted to please the palate and provide nourishment.",Asthma,summer,Spice House,3.6,28.3,124.0,53.2
57.0,Mixed Bean Salad Variant 5,Healthy Food,non-veg,"A delicious and unique preparation of Mixed Bean Salad Variant 5, crafted to please the palate and provide nourishment.",Asthma,summer,Energy Bites,4.7,21.6,169.0,57.7
58.0,Greek Yogurt with Berries Variant 4,Healthy Food,veg,"A delicious and unique preparation of Greek Yogurt with Berries Variant 4, crafted to please the palate and provide nourishment.",Asthma,rainy,Vital Cafe,4.8,17.3,192.0,73.5
59.0,Sautéed Spinach Variant 10,Healthy Food,non-veg,"A delicious and unique preparation of Sautéed Spinach Variant 10, crafted to please the palate and provide nourishment.",Asthma,winter,Urban Plates,4.5,3.0,217.0,32.1
60.0,Mixed Bean Salad Variant 6,Healthy Food,veg,"A delicious and unique preparation of Mixed Bean Salad Variant 6, crafted to please the palate and provide nourishment.",Asthma,summer,Home Kitchen,4.2,19.0,106.0,37.0
61.0,Grilled Salmon Salad Variant 5,Healthy Food,non-veg,"A delightful and nutritious dish featuring fresh salmon, perfect for a flavorful and health-conscious meal.",Arthritis,summer,Green Table,4.4,2.2,365.0,39.7
62.0,Grilled Salmon Salad Variant 6,Healthy Food,veg,"A delightful and nutritious dish featuring fresh salmon, perfect for a flavorful and health-conscious meal.",Arthritis,winter,Healthy Greens,4.3,18.5,436.0,36.6
63.0,Quinoa Veggie Bowl Variant 5,Healthy Food,non-veg,"A wholesome and hearty quinoa bowl packed with vibrant veggies, ideal for a nutritious, energy-boosting option.",Arthritis,winter,Home Kitchen,4.8,7.2,463.0,41.8
64.0,Stir-Fried Tofu Variant 5,Healthy Food,veg,"A savory and protein-rich stir-fried tofu dish, offering a delicious, plant-based alternative.",Arthritis,summer,Fresh Greens,3.9,9.5,481.0,69.7
65.0,Avocado Chicken Wrap Variant 7,Healthy Food,non-veg,"A creamy and satisfying wrap with avocado and choice fillings, great for a balanced and refreshing meal.",Arthritis,winter,Energy Bites,3.5,5.5,326.0,55.9
66.0,Quinoa Veggie Bowl Variant 6,Healthy Food,veg,"A wholesome and hearty quinoa bowl packed with vibrant veggies, ideal for a nutritious, energy-boosting option.",Arthritis,summer,Green Table,4.0,17.9,460.0,58.9
67.0,Avocado Chicken Wrap Variant 8,Healthy Food,non-veg,"A creamy and satisfying wrap with avocado and choice fillings, great for a balanced and refreshing meal.",Arthritis,winter,Energy Bites,4.6,27.6,191.0,74.4
68.0,Stir-Fried Tofu Variant 6,Healthy Food,veg,"A savory and protein-rich stir-fried tofu dish, offering a delicious, plant-based alternative.",Arthritis,winter,Urban Plates,3.6,28.9,475.0,66.6
69.0,Low-Carb Cauliflower Rice Variant 3,Healthy Food,non-veg,"A delicious and unique preparation of Low-Carb Cauliflower Rice Variant 3, crafted to please the palate and provide nourishment.",Arthritis,rainy,Home Kitchen,4.1,25.9,318.0,56.3
70.0,Avocado Chicken Wrap Variant 9,Healthy Food,veg,"A creamy and satisfying wrap with avocado and choice fillings, great for a balanced and refreshing meal.",Arthritis,rainy,Fresh Greens,3.5,14.1,162.0,41.2
71.0,Kale and Lentil Soup Variant 5,Healthy Food,non-veg,"A delicious and unique preparation of Kale and Lentil Soup Variant 5, crafted to please the palate and provide nourishment.",Depression,winter,Fresh Greens,3.6,8.2,491.0,21.2
72.0,Grilled Tuna Variant 3,Healthy Food,veg,"A delicious and unique preparation of Grilled Tuna Variant 3, crafted to please the palate and provide nourishment.",Depression,winter,Healthy Greens,4.4,17.7,202.0,67.8
73.0,Berry Spinach Smoothie Variant 7,Healthy Food,non-veg,"A delicious and unique preparation of Berry Spinach Smoothie Variant 7, crafted to please the palate and provide nourishment.",Depression,rainy,Fresh Greens,4.4,8.0,423.0,68.9
74.0,Walnut-Crusted Salmon Variant 5,Healthy Food,veg,"A delightful and nutritious dish featuring fresh salmon, perfect for a flavorful and health-conscious meal.",Depression,rainy,Healthy Greens,4.3,28.2,104.0,22.6
75.0,Roasted Beet Salad Variant 5,Healthy Food,non-veg,"A delicious and unique preparation of Roasted Beet Salad Variant 5, crafted to please the palate and provide nourishment.",Depression,winter,Fresh Greens,4.9,27.8,485.0,55.4
76.0,Kale and Lentil Soup Variant 6,Healthy Food,veg,"A delicious and unique preparation of Kale and Lentil Soup Variant 6, crafted to please the palate and provide nourishment.",Depression,winter,Ocean Breeze,4.9,25.1,146.0,46.7
77.0,Berry Spinach Smoothie Variant 8,Healthy Food,non-veg,"A delicious and unique preparation of Berry Spinach Smoothie Variant 8, crafted to please the palate and provide nourishment.",Depression,winter,Healthy Greens,4.9,15.0,163.0,47.7
78.0,Walnut-Crusted Salmon Variant 6,Healthy Food,veg,"A delightful and nutritious dish featuring fresh salmon, perfect for a flavorful and health-conscious meal.",Depression,rainy,Spice House,4.9,20.5,412.0,77.6
79.0,Roasted Beet Salad Variant 6,Healthy Food,non-veg,"A delicious and unique preparation of Roasted Beet Salad Variant 6, crafted to please the palate and provide nourishment.",Depression,summer,Fresh Greens,4.7,29.0,154.0,17.6
80.0,Berry Spinach Smoothie Variant 9,Healthy Food,veg,"A delicious and unique preparation of Berry Spinach Smoothie Variant 9, crafted to please the palate and provide nourishment.",Depression,summer,Home Kitchen,4.6,26.2,136.0,77.3
81.0,Sautéed Spinach Variant 11,Healthy Food,non-veg,"A delicious and unique preparation of Sautéed Spinach Variant 11, crafted to please the palate and provide nourishment.",Kidney Disease,summer,Home Kitchen,4.7,4.1,213.0,65.5
82.0,Mixed Bean Salad Variant 7,Healthy Food,veg,"A delicious and unique preparation of Mixed Bean Salad Variant 7, crafted to please the palate and provide nourishment.",Kidney Disease,rainy,Fruit Bar,3.6,18.0,323.0,45.5
83.0,Sautéed Spinach Variant 12,Healthy Food,non-veg,"A delicious and unique preparation of Sautéed Spinach Variant 12, crafted to please the palate and provide nourishment.",Kidney Disease,summer,Fruit Bar,4.9,5.8,159.0,19.1
84.0,Sautéed Spinach Variant 13,Healthy Food,veg,"A delicious and unique preparation of Sautéed Spinach Variant 13, crafted to please the palate and provide nourishment.",Kidney Disease,winter,Fresh Greens,4.6,15.2,418.0,32.9
85.0,Sautéed Spinach Variant 14,Healthy Food,non-veg,"A delicious and unique preparation of Sautéed Spinach Variant 14, crafted to please the palate and provide nourishment.",Kidney Disease,summer,Ocean Breeze,4.3,24.3,385.0,46.0
86.0,Greek Yogurt with Berries Variant 5,Healthy Food,veg,"A delicious and unique preparation of Greek Yogurt with Berries Variant 5, crafted to please the palate and provide nourishment.",Kidney Disease,rainy,Spice House,4.9,28.0,283.0,79.6
87.0,Mixed Bean Salad Variant 8,Healthy Food,non-veg,"A delicious and unique preparation of Mixed Bean Salad Variant 8, crafted to please the palate and provide nourishment.",Kidney Disease,summer,Green Table,4.3,5.2,323.0,18.9
88.0,Greek Yogurt with Berries Variant 6,Healthy Food,veg,"A delicious and unique preparation of Greek Yogurt with Berries Variant 6, crafted to please the palate and provide nourishment.",Kidney Disease,rainy,Home Kitchen,4.5,6.1,184.0,73.1
89.0,Sautéed Spinach Variant 15,Healthy Food,non-veg,"A delicious and unique preparation of Sautéed Spinach Variant 15, crafted to please the palate and provide nourishment.",Kidney Disease,rainy,Home Kitchen,3.9,8.7,161.0,43.7
90.0,Mixed Bean Salad Variant 9,Healthy Food,veg,"A delicious and unique preparation of Mixed Bean Salad Variant 9, crafted to please the palate and provide nourishment.",Kidney Disease,rainy,Fresh Greens,4.6,25.0,434.0,52.8
91.0,Grilled Salmon Salad Variant 7,Healthy Food,non-veg,"A delightful and nutritious dish featuring fresh salmon, perfect for a flavorful and health-conscious meal.",Liver Disease,winter,Energy Bites,4.1,22.5,256.0,79.4
92.0,Grilled Salmon Salad Variant 8,Healthy Food,veg,"A delightful and nutritious dish featuring fresh salmon, perfect for a flavorful and health-conscious meal.",Liver Disease,winter,Fruit Bar,4.1,21.7,108.0,47.9
93.0,Quinoa Veggie Bowl Variant 7,Healthy Food,non-veg,"A wholesome and hearty quinoa bowl packed with vibrant veggies, ideal for a nutritious, energy-boosting option.",Liver Disease,summer,Green Table,4.6,8.7,279.0,38.8
94.0,Stir-Fried Tofu Variant 7,Healthy Food,veg,"A savory and protein-rich stir-fried tofu dish, offering a delicious, plant-based alternative.",Liver Disease,summer,Energy Bites,4.5,15.6,247.0,68.6
95.0,Avocado Chicken Wrap Variant 10,Healthy Food,non-veg,"A creamy and satisfying wrap with avocado and choice fillings, great for a balanced and refreshing meal.",Liver Disease,winter,Ocean Breeze,3.7,26.6,356.0,60.6
96.0,Quinoa Veggie Bowl Variant 8,Healthy Food,veg,"A wholesome and hearty quinoa bowl packed with vibrant veggies, ideal for a nutritious, energy-boosting option.",Liver Disease,rainy,Healthy Greens,3.6,10.2,387.0,70.0
97.0,Avocado Chicken Wrap Variant 11,Healthy Food,non-veg,"A creamy and satisfying wrap with avocado and choice fillings, great for a balanced and refreshing meal.",Liver Disease,winter,Spice House,4.7,16.3,259.0,39.9
98.0,Stir-Fried Tofu Variant 8,Healthy Food,veg,"A savory and protein-rich stir-fried tofu dish, offering a delicious, plant-based alternative.",Liver Disease,summer,Ocean Breeze,3.6,20.5,453.0,54.1
99.0,Low-Carb Cauliflower Rice Variant 4,Healthy Food,non-veg,"A delicious and unique preparation of Low-Carb Cauliflower Rice Variant 4, crafted to please the palate and provide nourishment.",Liver Disease,winter,Vital Cafe,4.3,15.9,426.0,56.3
100.0,Avocado Chicken Wrap Variant 12,Healthy Food,veg,"A creamy and satisfying wrap with avocado and choice fillings, great for a balanced and refreshing meal.",Liver Disease,winter,Fresh Greens,4.2,23.9,132.0,33.0
101.0,Kale and Lentil Soup Variant 7,Healthy Food,non-veg,"A delicious and unique preparation of Kale and Lentil Soup Variant 7, crafted to please the palate and provide nourishment.",Thyroid,summer,Energy Bites,5.0,17.0,320.0,65.7
102.0,Grilled Tuna Variant 4,Healthy Food,veg,"A delicious and unique preparation of Grilled Tuna Variant 4, crafted to please the palate and provide nourishment.",Thyroid,rainy,Fruit Bar,4.4,2.4,127.0,53.3
103.0,Berry Spinach Smoothie Variant 10,Healthy Food,non-veg,"A delicious and unique preparation of Berry Spinach Smoothie Variant 10, crafted to please the palate and provide nourishment.",Thyroid,rainy,Fruit Bar,3.9,27.4,181.0,35.8
104.0,Walnut-Crusted Salmon Variant 7,Healthy Food,veg,"A delightful and nutritious dish featuring fresh salmon, perfect for a flavorful and health-conscious meal.",Thyroid,summer,Urban Plates,4.8,11.6,290.0,20.6
105.0,Roasted Beet Salad Variant 7,Healthy Food,non-veg,"A delicious and unique preparation of Roasted Beet Salad Variant 7, crafted to please the palate and provide nourishment.",Thyroid,rainy,Green Table,4.2,4.4,363.0,65.2
106.0,Kale and Lentil Soup Variant 8,Healthy Food,veg,"A delicious and unique preparation of Kale and Lentil Soup Variant 8, crafted to please the palate and provide nourishment.",Thyroid,summer,Home Kitchen,4.4,12.1,422.0,15.2
107.0,Berry Spinach Smoothie Variant 11,Healthy Food,non-veg,"A delicious and unique preparation of Berry Spinach Smoothie Variant 11, crafted to please the palate and provide nourishment.",Thyroid,rainy,Fruit Bar,4.4,25.5,311.0,27.3
108.0,Walnut-Crusted Salmon Variant 8,Healthy Food,veg,"A delightful and nutritious dish featuring fresh salmon, perfect for a flavorful and health-conscious meal.",Thyroid,rainy,Fruit Bar,3.9,20.9,397.0,74.5
109.0,Roasted Beet Salad Variant 8,Healthy Food,non-veg,"A delicious and unique preparation of Roasted Beet Salad Variant 8, crafted to please the palate and provide nourishment.",Thyroid,summer,Spice House,4.4,22.1,247.0,50.9
110.0,Berry Spinach Smoothie Variant 12,Healthy Food,veg,"A delicious and unique preparation of Berry Spinach Smoothie Variant 12, crafted to please the palate and provide nourishment.",Thyroid,rainy,Spice House,4.2,21.7,489.0,44.7
111.0,Sautéed Spinach Variant 16,Healthy Food,non-veg,"A delicious and unique preparation of Sautéed Spinach Variant 16, crafted to please the palate and provide nourishment.",Osteoporosis,rainy,Fruit Bar,4.0,14.3,381.0,50.3
112.0,Mixed Bean Salad Variant 10,Healthy Food,veg,"A delicious and unique preparation of Mixed Bean Salad Variant 10, crafted to please the palate and provide nourishment.",Osteoporosis,summer,Home Kitchen,3.9,5.9,129.0,75.9
113.0,Sautéed Spinach Variant 17,Healthy Food,non-veg,"A delicious and unique preparation of Sautéed Spinach Variant 17, crafted to please the palate and provide nourishment.",Osteoporosis,summer,Energy Bites,4.3,21.7,152.0,64.5
114.0,Sautéed Spinach Variant 18,Healthy Food,veg,"A delicious and unique preparation of Sautéed Spinach Variant 18, crafted to please the palate and provide nourishment.",Osteoporosis,rainy,Green Table,3.9,10.9,247.0,27.1
115.0,Sautéed Spinach Variant 19,Healthy Food,non-veg,"A delicious and unique preparation of Sautéed Spinach Variant 19, crafted to please the palate and provide nourishment.",Osteoporosis,summer,Fresh Greens,3.6,26.8,444.0,78.2
116.0,Greek Yogurt with Berries Variant 7,Healthy Food,veg,"A delicious and unique preparation of Greek Yogurt with Berries Variant 7, crafted to please the palate and provide nourishment.",Osteoporosis,winter,Healthy Greens,4.5,27.1,176.0,48.1
117.0,Mixed Bean Salad Variant 11,Healthy Food,non-veg,"A delicious and unique preparation of Mixed Bean Salad Variant 11, crafted to please the palate and provide nourishment.",Osteoporosis,summer,Urban Plates,4.9,18.6,361.0,46.5
118.0,Greek Yogurt with Berries Variant 8,Healthy Food,veg,"A delicious and unique preparation of Greek Yogurt with Berries Variant 8, crafted to please the palate and provide nourishment.",Osteoporosis,winter,Healthy Greens,4.2,26.4,357.0,55.2
119.0,Sautéed Spinach Variant 20,Healthy Food,non-veg,"A delicious and unique preparation of Sautéed Spinach Variant 20, crafted to please the palate and provide nourishment.",Osteoporosis,rainy,Green Table,4.7,26.7,373.0,78.8
120.0,Mixed Bean Salad Variant 12,Healthy Food,veg,"A delicious and unique preparation of Mixed Bean Salad Variant 12, crafted to please the palate and provide nourishment.",Osteoporosis,rainy,Spice House,4.0,28.3,190.0,78.4
121.0,Grilled Salmon Salad Variant 9,Healthy Food,non-veg,"A delightful and nutritious dish featuring fresh salmon, perfect for a flavorful and health-conscious meal.",Alzheimer's,winter,Urban Plates,4.3,20.7,346.0,12.5
122.0,Grilled Salmon Salad Variant 10,Healthy Food,veg,"A delightful and nutritious dish featuring fresh salmon, perfect for a flavorful and health-conscious meal.",Alzheimer's,winter,Home Kitchen,4.3,22.2,193.0,74.2
123.0,Quinoa Veggie Bowl Variant 9,Healthy Food,non-veg,"A wholesome and hearty quinoa bowl packed with vibrant veggies, ideal for a nutritious, energy-boosting option.",Alzheimer's,winter,Ocean Breeze,4.7,21.7,270.0,38.2
124.0,Stir-Fried Tofu Variant 9,Healthy Food,veg,"A savory and protein-rich stir-fried tofu dish, offering a delicious, plant-based alternative.",Alzheimer's,rainy,Spice House,4.2,3.9,468.0,29.2
125.0,Avocado Chicken Wrap Variant 13,Healthy Food,non-veg,"A creamy and satisfying wrap with avocado and choice fillings, great for a balanced and refreshing meal.",Alzheimer's,winter,Urban Plates,4.6,29.9,424.0,33.4
126.0,Quinoa Veggie Bowl Variant 10,Healthy Food,veg,"A wholesome and hearty quinoa bowl packed with vibrant veggies, ideal for a nutritious, energy-boosting option.",Alzheimer's,winter,Vital Cafe,4.1,14.5,256.0,38.8
127.0,Avocado Chicken Wrap Variant 14,Healthy Food,non-veg,"A creamy and satisfying wrap with avocado and choice fillings, great for a balanced and refreshing meal.",Alzheimer's,summer,Energy Bites,4.4,23.3,441.0,78.3
